"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2022","24,66","23,26","26,94","22,62","","6,29%"
"01.10.2022","23,20","21,50","23,27","17,90","","7,66%"
"01.09.2022","21,55","24,50","27,00","20,75","","-13,10%"
"01.08.2022","24,80","25,09","29,92","23,72","","-0,96%"
"01.07.2022","25,04","23,66","28,12","21,87","","5,03%"
"01.06.2022","23,84","25,00","25,12","19,42","","-5,06%"
"01.05.2022","25,11","22,23","25,25","20,61","","8,98%"
"01.04.2022","23,04","35,56","35,98","23,01","","-35,23%"
"01.03.2022","35,57","31,62","36,66","23,14","","13,42%"
"01.02.2022","31,36","37,60","39,20","24,50","","-16,60%"
"01.01.2022","37,60","39,49","44,40","34,82","","-3,24%"
"01.12.2021","38,86","40,09","41,96","34,52","","-1,30%"
"01.11.2021","39,37","45,50","50,18","39,03","","-12,76%"
