"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2022","94,13","104,11","104,47","85,88","72,43M","-8,11%"
"01.10.2022","102,44","113,58","123,00","97,66","1,46B","-9,35%"
"01.09.2022","113,00","126,00","136,49","112,06","1,21B","-10,86%"
"01.08.2022","126,77","134,96","146,57","126,74","1,17B","-6,06%"
"01.07.2022","134,95","106,29","137,65","105,85","1,34B","27,06%"
"01.06.2022","106,21","122,26","128,99","101,43","1,77B","-11,65%"
"01.05.2022","120,21","122,40","126,22","101,26","2,26B","-3,28%"
"01.04.2022","124,28","164,15","168,39","121,63","1,47B","-23,75%"
"01.03.2022","163,00","152,73","170,83","133,57","1,63B","6,14%"
"01.02.2022","153,56","150,00","163,83","138,33","1,69B","2,67%"
"01.01.2022","149,57","167,55","171,40","135,35","1,53B","-10,28%"
"01.12.2021","166,72","177,25","177,99","165,20","1,29B","-4,93%"
"01.11.2021","175,35","168,09","188,11","164,18","1,52B","3,99%"
