"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2022","78,50","68,00","85,66","63,54","26,05M","23,47%"
"01.10.2022","63,58","79,76","86,29","58,01","534,62M","-20,52%"
"01.09.2022","79,99","92,75","94,84","76,28","341,27M","-16,16%"
"01.08.2022","95,41","89,19","104,85","86,71","509,99M","6,76%"
"01.07.2022","89,37","113,63","125,84","89,11","504,69M","-21,38%"
"01.06.2022","113,68","95,90","121,38","91,88","721,83M","18,36%"
"01.05.2022","96,05","96,41","102,69","78,01","482,69M","-1,07%"
"01.04.2022","97,09","117,62","118,95","81,80","540,92M","-10,76%"
"01.03.2022","108,80","105,85","124,11","73,28","1,16B","3,43%"
"01.02.2022","105,19","124,81","129,40","100,02","367,39M","-16,38%"
"01.01.2022","125,79","119,38","138,70","110,06","490,99M","5,89%"
"01.12.2021","118,79","128,37","129,45","108,70","587,06M","-6,85%"
"01.11.2021","127,53","165,84","171,90","126,13","434,07M","-22,68%"
