"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2022","119,99","96,78","127,28","87,24","2,23M","27,77%"
"01.10.2022","93,91","100,81","116,80","91,70","70,12M","-6,21%"
"01.09.2022","100,13","103,07","114,80","94,16","56,12M","-5,19%"
"01.08.2022","105,61","101,85","123,03","101,12","64,15M","1,82%"
"01.07.2022","103,72","74,73","107,39","74,70","96,20M","41,67%"
"01.06.2022","73,21","83,38","87,94","67,01","82,70M","-9,75%"
"01.05.2022","81,12","92,32","110,95","68,40","141,36M","-12,95%"
"01.04.2022","93,19","126,23","138,88","92,86","80,46M","-25,02%"
"01.03.2022","124,28","156,12","163,84","117,38","80,40M","-19,76%"
"01.02.2022","154,89","158,96","159,39","109,38","92,33M","-1,39%"
"01.01.2022","157,08","222,35","223,22","136,00","68,20M","-28,25%"
"01.12.2021","218,94","277,87","279,23","209,76","45,57M","-20,26%"
"01.11.2021","274,58","250,94","307,75","235,19","55,73M","9,53%"
