"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2022","321,51","295,20","327,79","277,50","3,56M","8,57%"
"01.10.2022","296,13","281,26","299,28","267,86","3,24M","7,32%"
"01.09.2022","275,94","288,25","302,78","265,63","4,78M","-4,33%"
"01.08.2022","288,42","300,17","332,98","288,31","2,64M","-4,16%"
"01.07.2022","300,94","275,73","310,67","274,86","1,89M","9,72%"
"01.06.2022","274,27","301,74","308,46","264,51","95,09M","-9,41%"
"01.05.2022","302,75","301,99","315,75","279,59","105,31M","0,78%"
"01.04.2022","300,40","300,50","318,40","293,59","86,71M","0,36%"
"01.03.2022","299,33","314,59","340,74","298,89","115,58M","-5,22%"
"01.02.2022","315,83","369,47","374,67","299,29","102,93M","-13,94%"
"01.01.2022","366,98","416,57","417,84","343,61","101,08M","-11,57%"
"01.12.2021","415,01","402,08","420,61","380,90","84,86M","3,59%"
"01.11.2021","400,61","373,00","416,56","364,70","75,89M","7,77%"
