"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2022","52,26","40,42","58,78","38,12","16,77M","40,14%"
"01.10.2022","37,29","49,38","54,38","33,17","236,36M","-25,86%"
"01.09.2022","50,30","61,75","63,20","49,81","114,25M","-20,77%"
"01.08.2022","63,49","57,58","67,87","53,05","191,90M","6,71%"
"01.07.2022","59,50","63,91","66,36","58,37","121,10M","-7,35%"
"01.06.2022","64,22","56,83","68,29","54,64","290,32M","14,43%"
"01.05.2022","56,12","60,12","62,39","45,68","298,61M","-6,69%"
"01.04.2022","60,14","59,74","63,68","49,01","215,22M","6,55%"
"01.03.2022","56,45","70,64","73,14","40,54","545,50M","-19,21%"
"01.02.2022","69,87","72,43","76,73","64,48","135,59M","-4,34%"
"01.01.2022","73,04","67,20","79,24","60,64","276,96M","6,86%"
"01.12.2021","68,35","84,74","86,05","63,11","253,01M","-16,69%"
"01.11.2021","82,04","76,72","90,41","74,74","197,23M","7,45%"
