"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2022","1.443,00","1.383,00","1.545,50","1.318,00","180,68K","7,85%"
"01.10.2022","1.338,00","1.065,00","1.354,00","1.026,00","170,85K","27,31%"
"01.09.2022","1.051,00","1.240,00","1.310,00","945,00","288,84K","-28,96%"
"01.08.2022","1.479,50","1.358,00","1.584,50","1.161,50","192,17K","6,94%"
"01.07.2022","1.383,50","837,50","1.470,00","816,00","570,04K","63,82%"
"01.06.2022","844,50","892,00","939,00","728,00","3,19M","-6,99%"
"01.05.2022","908,00","1.022,50","1.045,00","831,00","2,68M","-11,15%"
"01.04.2022","1.022,00","1.424,00","1.547,00","871,50","6,51M","-28,28%"
"01.03.2022","1.425,00","950,00","1.438,00","885,00","1,25M","41,72%"
"01.02.2022","1.005,50","1.613,00","1.788,00","595,00","36,18M","-37,41%"
"01.01.2022","1.606,50","2.292,00","2.323,00","1.221,00","21,82M","-30,65%"
"01.12.2021","2.316,50","3.001,00","3.055,00","2.155,00","9,99M","-22,62%"
"01.11.2021","2.993,50","3.200,00","3.498,00","2.912,00","7,86M","-6,16%"
