"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2022","660,0","666,0","722,0","642,0","21,64M","-0,90%"
"01.10.2022","666,0","613,0","717,0","603,0","7,68M","7,25%"
"01.09.2022","621,0","668,0","682,0","602,0","11,68M","-8,14%"
"01.08.2022","676,0","655,0","732,0","647,0","245,36M","3,21%"
"01.07.2022","655,0","610,0","660,0","600,0","290,58M","7,03%"
"01.06.2022","612,0","728,0","735,0","582,0","315,16M","-15,47%"
"01.05.2022","724,0","922,0","926,0","707,0","276,68M","-21,13%"
"01.04.2022","918,0","950,0","1.035,0","902,0","123,10M","-5,07%"
"01.03.2022","967,0","987,0","1.001,0","870,0","153,18M","-0,72%"
"01.02.2022","974,0","976,0","1.018,0","920,0","134,54M","-1,72%"
"01.01.2022","991,0","1.163,0","1.220,0","955,0","157,06M","-14,12%"
"01.12.2021","1.154,0","1.160,0","1.199,0","1.091,0","105,62M","-0,60%"
"01.11.2021","1.161,0","1.265,0","1.281,0","1.142,0","124,94M","-7,12%"
