"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2022","163,41","164,58","180,46","148,75","7,28M","-0,51%"
"01.10.2022","164,25","149,49","170,75","145,19","3,05M","10,69%"
"01.09.2022","148,39","159,22","176,13","145,50","4,30M","-7,45%"
"01.08.2022","160,34","168,64","183,86","157,18","3,23M","-1,86%"
"01.07.2022","163,38","141,21","164,00","139,35","2,52M","15,68%"
"01.06.2022","141,23","161,88","163,16","137,16","142,81M","-12,76%"
"01.05.2022","161,88","230,15","238,59","145,51","180,71M","-29,20%"
"01.04.2022","228,65","213,32","254,87","206,19","73,98M","7,74%"
"01.03.2022","212,22","226,83","229,19","204,95","96,14M","6,23%"
"01.02.2022","199,77","221,99","222,52","184,00","78,24M","-9,37%"
"01.01.2022","220,43","231,07","236,32","210,38","85,09M","-4,76%"
"01.12.2021","231,44","245,68","248,85","214,60","87,45M","-5,09%"
"01.11.2021","243,84","261,55","268,98","241,21","82,71M","-6,08%"
