"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.11.2022","152,42","141,16","153,37","138,27","6,33M","7,09%"
"01.10.2022","142,33","130,28","143,06","128,07","4,55M","9,74%"
"01.09.2022","129,70","132,62","138,23","128,34","6,49M","-2,15%"
"01.08.2022","132,55","131,42","142,67","125,14","4,72M","0,38%"
"01.07.2022","132,05","121,65","133,39","120,10","4,60M","8,61%"
"01.06.2022","121,58","128,50","128,92","117,90","170,93M","-5,48%"
"01.05.2022","128,63","154,96","154,99","117,27","272,15M","-15,92%"
"01.04.2022","152,99","149,66","160,77","148,84","142,41M","2,73%"
"01.03.2022","148,92","136,00","150,54","135,03","9,04M","10,18%"
"01.02.2022","135,16","139,21","141,99","132,01","162,40M","-3,33%"
"01.01.2022","139,81","144,00","146,63","133,95","165,59M","-3,37%"
"01.12.2021","144,69","140,51","146,53","135,24","238,68M","2,89%"
"01.11.2021","140,63","149,98","152,00","140,01","176,12M","-5,88%"
